movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,1515996
霸王别姬,2,9.6,1122904
这个杀手不太冷,3,9.4,1374098
阿甘正传,4,9.4,1186726
美丽人生,5,9.5,695557
千与千寻,6,9.3,1216563
泰坦尼克号,7,9.4,1128363
辛德勒的名单,8,9.5,618187
盗梦空间,9,9.3,1179527
忠犬八公的故事,10,9.3,786713
机器人总动员,11,9.3,781370
三傻大闹宝莱坞,12,9.2,1064764
放牛班的春天,13,9.3,740794
海上钢琴师,14,9.2,866653
楚门的世界,15,9.2,823403
大话西游之大圣娶亲,16,9.2,826750
星际穿越,17,9.3,847174
龙猫,18,9.2,732957
教父,19,9.3,532484
熔炉,20,9.3,486341
无间道,21,9.2,680232
疯狂动物城,22,9.2,948348
当幸福来敲门,23,9.1,862898
怦然心动,24,9.0,961101
触不可及,25,9.2,565292
蝙蝠侠：黑暗骑士,26,9.1,555979
乱世佳人,27,9.3,391580
活着,28,9.2,440101
控方证人,29,9.6,197238
少年派的奇幻漂流,30,9.0,848265
指环王3：王者无敌,31,9.2,429163
摔跤吧！爸爸,32,9.0,839005
天空之城,33,9.1,503523
鬼子来了,34,9.2,357968
天堂电影院,35,9.2,414902
十二怒汉,36,9.4,254883
飞屋环游记,37,9.0,766721
大话西游之月光宝盒,38,9.0,668174
哈尔的移动城堡,39,9.0,565215
搏击俱乐部,40,9.0,540298
罗马假日,41,9.0,571781
末代皇帝,42,9.2,349948
闻香识女人,43,9.0,490016
寻梦环游记,44,9.0,801706
辩护人,45,9.2,337810
窃听风暴,46,9.1,338138
素媛,47,9.2,318595
死亡诗社,48,9.0,411999
两杆大烟枪,49,9.1,368000
飞越疯人院,50,9.1,371735
指环王2：双塔奇兵,51,9.0,402670
教父2,52,9.2,289326
指环王1：魔戒再现,53,9.0,451887
V字仇杀队,54,8.9,630434
狮子王,55,9.0,436884
美丽心灵,56,9.0,439402
饮食男女,57,9.1,310566
海豚湾,58,9.3,245122
情书,59,8.9,541115
钢琴家,60,9.1,290997
本杰明·巴顿奇事,61,8.9,573089
看不见的客人,62,8.8,629170
大闹天宫,63,9.3,186993
哈利·波特与魔法石,64,8.9,461693
黑客帝国,65,8.9,431098
小鞋子,66,9.2,216183
西西里的美丽传说,67,8.8,548106
美国往事,68,9.1,246751
何以为家,69,9.1,340610
拯救大兵瑞恩,70,9.0,367259
让子弹飞,71,8.8,930727
音乐之声,72,9.0,337449
致命魔术,73,8.8,494653
七宗罪,74,8.8,590238
猫鼠游戏,75,8.9,399681
被嫌弃的松子的一生,76,8.9,442351
低俗小说,77,8.8,490940
沉默的羔羊,78,8.8,494456
蝴蝶效应,79,8.8,544803
春光乍泄,80,8.9,364752
天使爱美丽,81,8.7,654255
勇敢的心,82,8.9,386225
剪刀手爱德华,83,8.7,671946
穿条纹睡衣的男孩,84,9.0,253548
心灵捕手,85,8.8,400172
禁闭岛,86,8.8,533313
布达佩斯大饭店,87,8.8,496319
阿凡达,88,8.7,781011
入殓师,89,8.8,400249
幽灵公主,90,8.9,334867
加勒比海盗,91,8.7,514973
致命ID,92,8.7,452577
摩登时代,93,9.3,147229
阳光灿烂的日子,94,8.8,377398
断背山,95,8.7,446056
第六感,96,8.8,324288
重庆森林,97,8.7,468529
狩猎,98,9.1,195465
玛丽和马克思,99,8.9,288775
喜剧之王,100,8.7,508451
消失的爱人,101,8.7,521348
告白,102,8.7,465251
大鱼,103,8.8,345284
一一,104,9.0,209174
小森林 夏秋篇,105,9.0,223729
阳光姐妹淘,106,8.8,375354
爱在黎明破晓前,107,8.8,324270
射雕英雄传之东成西就,108,8.7,382321
请以你的名字呼唤我,109,8.8,323322
甜蜜蜜,110,8.8,305522
侧耳倾听,111,8.9,253990
红辣椒,112,8.9,208766
驯龙高手,113,8.7,435035
倩女幽魂,114,8.7,396432
超脱,115,8.8,254928
恐怖直播,116,8.7,346422
菊次郎的夏天,117,8.8,281602
风之谷,118,8.8,244699
爱在日落黄昏时,119,8.8,282716
小森林 冬春篇,120,9.0,194420
杀人回忆,121,8.7,309061
哈利·波特与死亡圣器(下),122,8.7,405217
7号房的礼物,123,8.8,273497
幸福终点站,124,8.7,308538
上帝之城,125,8.9,199419
蝙蝠侠：黑暗骑士崛起,126,8.7,413026
海蒂和爷爷,127,9.1,138350
借东西的小人阿莉埃蒂,128,8.8,306516
萤火之森,129,8.8,258633
超能陆战队,130,8.6,559790
唐伯虎点秋香,131,8.5,540276
神偷奶爸,132,8.5,567728
无人知晓,133,9.1,131479
怪兽电力公司,134,8.6,360762
岁月神偷,135,8.7,392633
电锯惊魂,136,8.7,285391
玩具总动员3,137,8.8,276437
谍影重重3,138,8.8,253191
七武士,139,9.2,108361
疯狂原始人,140,8.7,514709
血战钢锯岭,141,8.7,468925
喜宴,142,8.9,194005
英雄本色,143,8.6,274316
真爱至上,144,8.6,428514
东邪西毒,145,8.6,360145
萤火虫之墓,146,8.7,270593
傲慢与偏见,147,8.5,426994
贫民窟的百万富翁,148,8.6,496037
时空恋旅人,149,8.7,300639
黑天鹅,150,8.5,546596
记忆碎片,151,8.6,371520
心迷宫,152,8.7,272370
纵横四海,153,8.8,224788
教父3,154,8.8,190401
荒蛮故事,155,8.8,221709
完美的世界,156,9.1,121956
我不是药神,157,9.0,1169878
达拉斯买家俱乐部,158,8.7,263127
雨人,159,8.7,266360
花样年华,160,8.6,335415
三块广告牌,161,8.7,490130
被解救的姜戈,162,8.7,355281
卢旺达饭店,163,8.9,160641
海边的曼彻斯特,164,8.6,292984
你的名字。,165,8.4,749461
头脑特工队,166,8.7,337288
你看起来好像很好吃,167,8.8,200998
恋恋笔记本,168,8.5,383157
我是山姆,169,8.9,153260
无敌破坏王,170,8.7,304341
虎口脱险,171,8.9,140318
冰川时代,172,8.5,376494
二十二,173,8.7,167202
海洋,174,9.0,116163
雨中曲,175,9.0,124289
爆裂鼓手,176,8.6,322577
未麻的部屋,177,8.9,146170
模仿游戏,178,8.6,353174
一个叫欧维的男人决定去死,179,8.8,193794
燃情岁月,180,8.8,184387
人工智能,181,8.6,257063
忠犬八公物语,182,9.1,95754
哪吒闹海,183,9.0,126241
穿越时空的少女,184,8.6,248464
房间,185,8.8,228004
魔女宅急便,186,8.6,279069
魂断蓝桥,187,8.8,163971
恐怖游轮,188,8.4,456167
海街日记,189,8.7,212036
猜火车,190,8.5,305488
黑客帝国3：矩阵革命,191,8.7,223911
天书奇谭,192,9.1,89832
完美陌生人,193,8.5,331919
罗生门,194,8.8,174479
阿飞正传,195,8.5,293867
香水,196,8.5,360584
朗读者,197,8.5,332437
可可西里,198,8.7,170306
浪潮,199,8.7,172580
谍影重重2,200,8.6,217807
谍影重重,201,8.6,259598
牯岭街少年杀人事件,202,8.8,148372
战争之王,203,8.6,223778
地球上的星星,204,8.9,119867
疯狂的石头,205,8.4,448690
功夫,206,8.4,459477
惊魂记,207,8.9,119471
初恋这件小事,208,8.3,629479
青蛇,209,8.5,302069
头号玩家,210,8.7,816842
终结者2：审判日,211,8.6,197366
源代码,212,8.4,518584
步履不停,213,8.8,138280
爱在午夜降临前,214,8.8,165828
新龙门客栈,215,8.5,256327
小萝莉的猴神大叔,216,8.5,268506
一次别离,217,8.7,167462
追随,218,8.9,107785
奇迹男孩,219,8.6,319597
再次出发之纽约遇见你,220,8.5,243703
无耻混蛋,221,8.5,292378
撞车,222,8.6,218511
东京物语,223,9.2,72500
血钻,224,8.6,194752
彗星来的那一夜,225,8.5,273871
城市之光,226,9.3,64538
2001太空漫游,227,8.7,148220
梦之安魂曲,228,8.7,144152
绿里奇迹,229,8.7,144251
釜山行,230,8.4,554375
疯狂的麦克斯4：狂暴之路,231,8.6,293804
聚焦,232,8.8,171739
新世界,233,8.7,146563
E.T. 外星人,234,8.5,210009
这个男人来自地球,235,8.5,243871
末路狂花,236,8.7,137358
黑鹰坠落,237,8.6,168294
发条橙,238,8.5,236841
变脸,239,8.4,271346
遗愿清单,240,8.6,189486
勇闯夺命岛,241,8.6,181282
国王的演讲,242,8.4,433931
黄金三镖客,243,9.1,70673
我爱你,244,9.0,84040
千钧一发,245,8.7,130110
非常嫌疑犯,246,8.6,162312
秒速5厘米,247,8.3,409944
卡萨布兰卡,248,8.6,159711
驴得水,249,8.3,498198
四个春天,250,8.9,86363
